Road Number,Class,Name,From (m),To (m),Length (m),Deport,Deport Code,EE,EE Code,CE,CE Code,Province,Prov Code
A0000,A,Kollupitiya - Sri Jayewardenepura,0,3570,3570,CMC,01110,Colombo,0111,Colombo,011,Western Province,01
A0000,A,Kollupitiya - Sri Jayewardenepura,3570,7092,3522,Nawala,01113,Colombo,0111,Colombo,011,Western Province,01
A0001,A,Colombo - Kandy,0,4700,4700,CMC,01110,Colombo,0111,Colombo,011,Western Province,01
A0001,A,Colombo - Kandy,4700,5860,1160,Orugodawatta,01114,Colombo,0111,Colombo,011,Western Province,01
A0001,A,Colombo - Kandy,5860,22580,16720,Kadawatha,01212,Gampaha,0121,Gampaha,012,Western Province,01
A0001,A,Colombo - Kandy,22580,33850,11270,Gampaha,01211,Gampaha,0121,Gampaha,012,Western Province,01
A0001,A,Colombo - Kandy,33850,44080,10230,Nittambuwa,01232,Nittambuwa,0123,Gampaha,012,Western Province,01
A0001,A,Colombo - Kandy,44080,55900,11820,Mirigama,01231,Nittambuwa,0123,Gampaha,012,Western Province,01
A0001,A,Colombo - Kandy,55900,66070,10170,Warakapola,09216,Kegalle,0921,Kegalle,092,Sabaragamuwa Province,09
A0001,A,Colombo - Kandy,66070,73070,7000,Abanpitiya,09211,Kegalle,0921,Kegalle,092,Sabaragamuwa Province,09
A0001,A,Colombo - Kandy,73070,81070,8000,Dewalegama,09212,Kegalle,0921,Kegalle,092,Sabaragamuwa Province,09
A0001,A,Colombo - Kandy,81070,85075,4005,Rambukkana,09215,Kegalle,0921,Kegalle,092,Sabaragamuwa Province,09
A0001,A,Colombo - Kandy,85075,98710,13635,Molagoda,09214,Kegalle,0921,Kegalle,092,Sabaragamuwa Province,09
A0001,A,Colombo - Kandy,98710,109240,10530,Kadugannawa,02132,Kadugannawa,0213,Kandy,021,Central Province,02
A0001,A,Colombo - Kandy,109240,115613,6373,Gatambe,02112,Kandy,0211,Kandy,021,Central Province,02
A0002,A,Colombo - Galle - Hambantota - Wellawaya,0,8227,8227,CMC,01110,Colombo,0111,Colombo,011,Western Province,01
A0002,A,Colombo - Galle - Hambantota - Wellawaya,8227,19500,11273,Ratmalana,01115,Colombo,0111,Colombo,011,Western Province,01
A0002,A,Colombo - Galle - Hambantota - Wellawaya,19500,37080,17580,Panadura,01314,Kalutara,0131,Kalutara,013,Western Province,01
A0002,A,Colombo - Galle - Hambantota - Wellawaya,37080,61080,24000,Kalutara,01312,Kalutara,0131,Kalutara,013,Western Province,01
A0002,A,Colombo - Galle - Hambantota - Wellawaya,61080,86090,25010,Karandeniya,03112,Galle,0311,Galle,031,Southern Province,03
A0002,A,Colombo - Galle - Hambantota - Wellawaya,86090,98130,12040,Baddegama,03111,Galle,0311,Galle,031,Southern Province,03
