Road Code,From (km),To (km),Depot,EE,CE,Province,Count
A0000,0,3570,CMC,Colombo,Colombo,Western Province,
A0000,3570,7075,Nawala,Colombo,Colombo,Western Province,
A0001,0,4700,CMC,Colombo,Colombo,Western Province,
A0001,4700,5860,Orugodawatta,Colombo,Colombo,Western Province,
A0001,5860,22580,Kadawatha,Gampaha,Gampaha,Western Province,
A0001,22580,33850,Gampaha,Gampaha,Gampaha,Western Province,1.0
A0001,33850,44080,Nittambuwa,Nittambuwa,Gampaha,Western Province,
A0001,44080,55900,Mirigama,Nittambuwa,Gampaha,Western Province,
A0001,55900,66070,Warakapola,Kegalle,Kegalle,Sabaragamuwa Province,
A0001,66070,73070,Abanpitiya,Kegalle,Kegalle,Sabaragamuwa Province,
A0001,73070,81070,Dewalegama,Kegalle,Kegalle,Sabaragamuwa Province,
A0001,81070,85075,Rambukkana,Kegalle,Kegalle,Sabaragamuwa Province,
A0001,85075,98710,Molagoda,Kegalle,Kegalle,Sabaragamuwa Province,
A0001,98710,109240,Kadugannawa,Kadugannawa,Kandy,Central Province,2.0
A0001,109240,115615,Gatambe,Kandy,Kandy,Central Province,1.0
A0002,0,8227,CMC,Colombo,Colombo,Western Province,
A0002,8227,19500,Ratmalana,Colombo,Colombo,Western Province,
A0002,19500,37080,Panadura,Kalutara,Kalutara,Western Province,
A0002,37080,61080,Kalutara,Kalutara,Kalutara,Western Province,
A0002,61080,86090,Karandeniya,Galle,Galle,Southern Province,
A0002,86090,98130,Baddegama,Galle,Galle,Southern Province,10.0
A0002,98130,135260,Nugaduwa,Galle,Galle,Southern Province,20.0
A0002,135260,158090,Weligama,Matara,Matara,Southern Province,
A0002,158090,185100,Welewatta,Matara,Matara,Southern Province,
A0002,185100,231120,Tangalle,Tangalle,Hambantota,Southern Province,
A0002,231120,258000,Uda malala,Hambantota,Hambantota,Southern Province,
A0002,258000,281940,Weerawila,Hambantota,Hambantota,Southern Province,
A0002,281940,318465,Bodagama,Monaragala,Monaragala,UVA Province,
A0003,0,2005,Kadawatha,Gampaha,Gampaha,Western Province,
A0003,2005,6940,Wattala,Negambo,Gampaha,Western Province,
A0003,6940,18330,Ja-ela,Negambo,Gampaha,Western Province,
A0003,18330,37900,Negambo unit,Negambo,Gampaha,Western Province,
A0003,37900,49990,Haldaduwana,Chilaw,Chilaw,North Western Province,
A0003,49990,65000,Walahapitiya,Chilaw,Chilaw,North Western Province,
A0003,65000,71015,Kokkawila,Chilaw,Chilaw,North Western Province,
A0003,71015,93825,Chilaw,Chilaw,Chilaw,North Western Province,
A0003,93825,105055,Andigama,Puttalam,Chilaw,North Western Province,
A0003,105055,122055,Palawi,Puttalam,Chilaw,North Western Province,
A0003,122055,126930,Puttalam,Puttalam,Chilaw,North Western Province,
A0004,0,9145,CMC,Colombo,Colombo,Western Province,
A0004,9145,18260,Navinna,Colombo,Colombo,Western Province,
A0004,18260,26250,Homagama,Avissawella,Colombo,Western Province,
A0004,26250,37280,Galagedara,Avissawella,Colombo,Western Province,
A0004,37280,61075,Kaluaggala,Avissawella,Colombo,Western Province,
A0004,61075,99385,Parakaduwa,Ratnapura,Ratnapura,Sabaragamuwa Province,
A0004,99385,105315,Malwala,Ratnapura,Ratnapura,Sabaragamuwa Province,
A0004,105315,130240,Madampe,Pelmadulla,Ratnapura,Sabaragamuwa Province,
A0004,130240,145200,Horaketiya,Pelmadulla,Ratnapura,Sabaragamuwa Province,
A0004,145200,167800,Pagal owita,Pelmadulla,Ratnapura,Sabaragamuwa Province,
A0004,167800,213815,Ella,Bandarawela,Badulla,UVA Province,
